Australia,British,Canada,Switzerland,China,Japan,New Zealand,Singapore
0.7818,1.61,0.8611040000000001,0.633513,0.211242,0.006862999999999999,0.594,0.523972
0.7867,1.6293,0.86103,0.648508,0.211242,0.006975,0.5973,0.526316
0.786,1.637,0.8620690000000001,0.650618,0.211242,0.006953,0.597,0.523834
0.7849,1.653,0.8619950000000001,0.656254,0.211242,0.006940000000000001,0.5985,0.5274260000000001
0.7866,1.6537,0.86103,0.654879,0.211242,0.006887000000000001,0.604,0.526177
0.7886,1.662,0.8628870000000001,0.661157,0.211242,0.006885,0.607,0.527565
0.791,1.6568,0.8643040000000001,0.6596310000000001,0.211242,0.006878,0.6084,0.527565
0.7939,1.6695,0.8642299999999999,0.6691199999999999,0.211242,0.006878,0.6115,0.528123
0.7894,1.657,0.858369,0.659413,0.211242,0.006874,0.609,0.528123
0.7917,1.6495,0.859107,0.663702,0.211242,0.006873000000000001,0.612,0.529381
0.7941,1.6445,0.8537520000000001,0.6585449999999999,0.211242,0.006843999999999999,0.614,0.529101
0.7935,1.6465,0.848176,0.660284,0.211242,0.006866,0.6106,0.5327649999999999
0.7954,1.639,0.845309,0.652742,0.211242,0.006829000000000001,0.6118,0.5320560000000001
0.7751,1.649,0.8488959999999999,0.66313,0.211242,0.006845,0.6052,0.53135
0.7622,1.655,0.843526,0.668226,0.211242,0.006881,0.5915,0.533049
0.7583,1.6572,0.839983,0.6720430000000001,0.211242,0.006924,0.5945,0.532623
0.7605,1.657,0.837591,0.667557,0.211242,0.006976,0.5928,0.534188
0.7635,1.678,0.841397,0.672948,0.211242,0.006987,0.595,0.535045
0.766,1.6818,0.8399129999999999,0.670691,0.211242,0.006940000000000001,0.597,0.537201
0.7685,1.6794,0.8433129999999999,0.664894,0.211242,0.0069180000000000005,0.602,0.536481
0.7702,1.6815,0.842886,0.6674680000000001,0.211242,0.006901000000000001,0.5983,0.536193
0.7735,1.6817,0.841255,0.668003,0.211242,0.0068790000000000006,0.6003,0.535475
0.7655,1.695,0.840407,0.675584,0.211242,0.006878,0.5998,0.535906
0.7665,1.702,0.841822,0.677094,0.211242,0.00689,0.601,0.538503
0.7575,1.699,0.837872,0.674992,0.211242,0.006874,0.5936,0.537779
0.7545,1.687,0.8353520000000001,0.668986,0.211242,0.006878,0.5915,0.5367689999999999
0.7493,1.6925,0.8364,0.668003,0.211242,0.006887000000000001,0.593,0.536337
0.7521,1.695,0.83167,0.668539,0.211242,0.006934999999999999,0.5926,0.536625
0.7521,1.6905,0.8334030000000001,0.668003,0.211242,0.006925,0.5925,0.535906
0.7457,1.696,0.8286379999999999,0.670107,0.211242,0.0069310000000000005,0.5815,0.536625
0.75,1.693,0.8291870000000001,0.668673,0.211242,0.006925,0.585,0.536193
0.7567,1.6955,0.8340280000000001,0.669568,0.211242,0.0069370000000000005,0.5883,0.535045
0.7595,1.704,0.8319469999999999,0.673401,0.211242,0.006875,0.5898,0.5376340000000001
0.7586,1.715,0.832432,0.678104,0.211242,0.006881,0.5887,0.537346
0.7646,1.7147,0.8371700000000001,0.679117,0.211242,0.006854000000000001,0.5897,0.536481
0.7652,1.71,0.8354219999999999,0.677048,0.211242,0.006806,0.5902,0.535906
