CTAS,GOOG,HAS,HOLX,IDXX,JBHT,KLAC,LILAK,SHPG
124.2,820.0,98.85,42.72,153.51,89.42,95.57,22.48,177.65
124.3479,820.69,99.1623,42.62,153.44,90.72,95.66999999999999,22.406666666666666,178.08
124.58394999999999,820.301,98.93615,42.7,153.15,90.51,95.77,22.333333333333336,177.87
124.82,819.0,98.71,42.6,152.6,90.5275,95.84,22.26,177.865
124.64,819.34,98.71,42.64,152.96,90.545,95.86000000000004,22.22,177.87
124.78,819.0310000000002,99.01,42.64,153.5356,90.5625,95.85,22.21,177.87
124.92,819.595,99.0,42.66,153.32,90.58,95.9,22.35,177.85
124.96000000000001,819.19,98.91,42.7,153.315,90.71,96.13,22.34,177.86
125.0,819.1549999999999,98.76,42.66,153.31,90.65,95.95,22.35,177.77
125.09,819.19,98.83,42.635,153.57,90.82,96.125,22.39,177.69
125.37,818.62,98.64,42.61,153.28,90.79,96.08,22.56,177.64
125.34,819.32,98.84,42.61,153.22,91.02,96.105,22.53,177.65
125.33,819.0399999999997,98.7,42.62,153.125,91.06,96.0725,22.5225,177.74
125.25,819.3999999999999,98.75,42.58,153.04,91.04,96.04,22.515,177.68
125.26,819.49,98.6,42.59,153.1726,91.06,96.145,22.52,177.64
125.0814,819.46,98.53,42.57,153.06,91.17,96.0375,22.54,177.64
124.91,818.0,98.5,42.55,152.81,91.04,95.93,22.6,177.5
124.845,817.1499999999999,98.52,42.54,152.9069,91.06,95.9175,22.585,177.46
124.82,815.93,98.39,42.5,152.76,90.96,95.85,22.555,177.33
124.86000000000004,815.85,98.47,42.48,152.77,90.96,95.84,22.56,177.44
124.94,816.2799999999999,98.47,42.48,153.01,90.91,95.89,22.53,177.56
124.89,815.97,98.34,42.48,153.03,90.82,95.85,22.51,177.4
124.78,814.22,98.365,42.45,152.77,90.73,95.7406,22.51,177.35499999999996
124.805,814.765,98.36000000000004,42.46,152.9,90.71,95.76,22.61,177.5
124.83,815.11,98.41,42.46,152.81,90.72,95.8,22.62,177.58
125.0,815.46,98.45,42.44,152.86,90.72,95.78,22.67,177.58
125.0,815.83,98.365,42.47,152.815,90.76,95.82,22.72,177.61
125.04,815.301,98.335,42.45,152.74,90.91,95.81,22.759999999999998,177.66
125.05,815.38,98.42,42.45,152.8,90.91,95.75,22.8,177.69999999999996
125.18,815.0399999999997,98.48,42.47,152.93,90.91,95.74,22.84,177.65
125.07,814.96,98.5,42.42,152.8,90.92,95.7182,22.78,177.62
125.19,814.755,98.49,42.46,152.87,91.18,95.77,22.7458,177.6
125.21000000000001,814.6699999999997,98.5208,42.5,152.79,91.09,95.75,22.74,177.6
125.23,815.14,98.475,42.47,152.88,91.06,95.75,22.73333333333333,177.57
125.45,816.64,98.565,42.55,153.1535,91.24,95.89,22.726666666666667,177.97999999999996
125.48,817.5,98.6603,42.55,153.25,91.15,95.86,22.72,177.9
125.45,817.02,98.7,42.55,153.17,91.28,95.83,22.72,178.0
125.52,816.9774999999997,98.61000000000004,42.52,153.1,91.13,95.81,22.72,177.58
125.38,817.02,98.62,42.51,153.0066,91.14,95.67,22.74,177.66
125.46,817.4099999999999,98.54,42.51,153.09,91.09,95.7,22.74,177.56
125.65,817.21,98.6,42.52,152.995,91.16,95.66,22.71,177.44999999999996
125.64500000000001,816.76,98.6,42.57,153.07,91.2,95.69,22.73,177.44999999999996
125.64,817.2093999999997,98.635,42.575,153.06,91.29,95.67,22.74,177.4
125.72,817.2999999999997,98.7,42.565,153.05,91.34,95.71,22.745,177.47
125.67,817.0499999999997,98.77,42.55,153.11,91.36,95.52,22.82,177.5
125.62,816.4199999999997,98.59,42.51,153.0,91.22,95.5,22.83,177.22999999999996
125.58,816.445,98.605,42.515,153.04,91.19,95.57,22.82,177.22
125.58,816.4887999999999,98.605,42.5125,152.91,91.3,95.5581,22.78,177.05
125.58,816.49,98.58,42.5,152.82,91.275,95.5462,22.78,177.03
125.6,816.2,98.564,42.5,152.97999999999996,91.295,95.58,22.795,177.08
125.56,815.69,98.58,42.525,152.94,91.41,95.61000000000004,22.7675,176.94999999999996
125.46,815.21,98.57,42.52,152.71,91.41,95.515,22.74,176.94999999999996
125.37,815.13,98.635,42.51,152.62,91.31,95.41,22.72,176.885
125.28,814.99,98.61000000000004,42.51,152.65,91.33,95.38,22.716666666666665,177.03
125.41,815.22,98.72,42.505,152.68,91.36,95.39,22.713333333333335,177.07
125.39,815.0399999999997,98.69,42.5,152.84,91.45,95.42,22.71,177.16
125.44,814.24,98.7,42.5,152.665,91.43,95.38,22.72,177.04
125.41499999999999,814.56,98.7468,42.5,152.51,91.46,95.35,22.74,177.1
125.39,814.93,98.72,42.51,152.57,91.55,95.39,22.745,176.875
125.53,815.4247,98.67,42.51,152.4975,91.65,95.45,22.745,177.04
125.52250000000001,815.32,98.69,42.51,152.425,91.64,95.44,22.745,177.0
125.515,815.3821,98.72,42.495,152.43,91.72,95.46,22.745,177.05
125.51,815.27,98.73,42.5,152.5966,91.66,95.44,22.745,177.19999999999996
125.4,815.32,98.63,42.46,152.74,91.785,95.37,22.76,177.15
125.33,815.49,98.54,42.42,152.57,91.85,95.33,22.745,177.06
125.2926,815.8675,98.61000000000004,42.41,152.61,92.07,95.36000000000004,22.74,177.07
125.2552,815.815,98.57,42.4,152.5,91.95,95.35,22.7,177.01
125.26,816.2999999999997,98.56,42.3641,152.6,91.95,95.365,22.66,176.995
125.32,816.14,98.6,42.37,152.675,91.955,95.36250000000001,22.66,177.09
125.41,817.0499999999997,98.66,42.36,152.69,91.93,95.36000000000004,22.655,177.09400000000005
125.64,816.43,98.6,42.36,152.53,91.81,95.35,22.68,177.04
125.79,816.46,98.67,42.37,152.69999999999996,91.83,95.37,22.66,177.06
125.765,817.19,98.705,42.38,152.71,91.85,95.36000000000004,22.66,177.15
125.74,817.2,98.69,42.38,152.75,91.9,95.38500000000002,22.615,177.16
125.78,817.58,98.57,42.41,152.72499999999997,91.84,95.41,22.645,177.28
125.88,817.81,98.53,42.41,152.69999999999996,91.9,95.41,22.63,177.39
125.86000000000004,817.72,98.58,42.435,152.68,91.92,95.4,22.61,177.33
125.79,817.6499999999999,98.61000000000004,42.43,152.62,91.98,95.48,22.6,177.435
125.8089,817.4149999999997,98.64,42.42,152.55,92.02,95.52,22.5975,177.42
125.84445,817.5843999999997,98.58,42.41,152.54,92.08,95.53,22.595,177.38
125.88,817.25,98.6,42.425,152.53,92.09,95.56,22.6,177.5
125.73,816.36,98.535,42.415,152.64,92.12,95.52,22.6,177.39
125.73,816.2853,98.53,42.41,152.59,92.13,95.54,22.605,177.4
125.76,816.68,98.55,42.4,152.53,92.17,95.54,22.605,177.5
125.825,816.36,98.57,42.39,152.53,92.185,95.47,22.58,177.47
125.89,817.1599999999999,98.6,42.39,152.5187,92.25,95.46,22.585,177.52
125.815,817.08,98.56,42.39,152.49,92.22,95.46,22.55,177.43
125.74,816.305,98.46,42.36,152.44,92.33,95.45,22.56,177.51
125.68,816.0601,98.45,42.36,152.39,92.29,95.4503,22.545,177.43
125.64,816.27,98.54,42.37,152.4,92.34,95.455,22.54,177.47999999999996
125.74,817.0,98.67,42.37,152.51,92.49100000000004,95.47,22.56,177.64
125.75999999999999,816.69,98.67,42.37,152.6,92.55,95.49000000000001,22.58,177.59
125.78,817.435,98.73,42.39,152.67,92.64,95.51,22.6,177.8
125.77,817.595,98.84,42.38,152.66,92.82,95.515,22.59,177.77
